"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","direction"
"MPHOSPH10",0.000521037832602623,-0.646446641076076,0.176,0.271,1,"MPHOSPH10","Up in Healthy"
"CAMTA1",0.000523125810211572,1.18087718365182,0.336,0.301,1,"CAMTA1","Up in Severe"
"OGT",0.000568962603494221,-0.593422081808531,0.266,0.394,1,"OGT","Up in Healthy"
"ZC3H13",0.000658866168742294,-0.552890328805353,0.21,0.298,1,"ZC3H13","Up in Healthy"
"DNAJB1",0.000685873083816135,-0.65687299663371,0.256,0.357,1,"DNAJB1","Up in Healthy"
"VCAN",0.000704704290405964,0.755758791017915,0.374,0.263,1,"VCAN","Up in Severe"
"ARHGAP15",0.000705702919359743,-0.640191828965555,0.248,0.339,1,"ARHGAP15","Up in Healthy"
"LINC00623",0.00070964159741612,-0.792823245928551,0.173,0.264,1,"LINC00623","Up in Healthy"
"NCF4",0.000713941691467908,0.930124368777374,0.278,0.186,1,"NCF4","Up in Severe"
"TECR",0.000719740333966212,-0.682796069105496,0.267,0.385,1,"TECR","Up in Healthy"
"ZC3H18",0.000727120787793507,-0.729980726720508,0.186,0.272,1,"ZC3H18","Up in Healthy"
